Date,Open,High,Low,Close,Ticker,,
2023-02-23,17574.65039,17620.05078,17455.40039,17511.25,NSEI,,
2023-02-24,17591.34961,17599.75,17421.80078,17465.80078,NSEI,,
2023-02-27,17428.59961,17451.59961,17299,17392.69922,NSEI,,
2023-02-28,17383.25,17440.44922,17255.19922,17303.94922,NSEI,,
2023-03-01,17360.09961,17467.75,17345.25,17450.90039,NSEI,,
2023-03-02,17421.5,17445.80078,17306,17321.90039,NSEI,,
2023-03-03,17451.25,17644.75,17427.69922,17594.34961,NSEI,,
2023-03-06,17680.34961,17799.94922,17671.94922,17711.44922,NSEI,,
2023-03-08,17665.75,17766.5,17602.25,17754.40039,NSEI,,
2023-03-09,17772.05078,17772.34961,17573.59961,17589.59961,NSEI,,
2023-03-10,17443.80078,17451.5,17324.34961,17412.90039,NSEI,,
2023-03-13,17421.90039,17529.90039,17113.44922,17154.30078,NSEI,,
2023-03-14,17160.55078,17224.65039,16987.09961,17043.30078,NSEI,,
2023-03-15,17166.44922,17211.34961,16938.90039,16972.15039,NSEI,,
2023-03-16,16994.65039,17062.44922,16850.15039,16985.59961,NSEI,,
2023-03-17,17111.80078,17145.80078,16958.15039,17100.05078,NSEI,,
2023-03-20,17066.59961,17066.59961,16828.34961,16988.40039,NSEI,,
2023-03-21,17060.40039,17127.69922,17016,17107.5,NSEI,,
2023-03-22,17177.44922,17207.25,17107.84961,17151.90039,NSEI,,
2023-03-23,17097.40039,17205.40039,17045.30078,17076.90039,NSEI,,
2023-03-24,17076.19922,17109.44922,16917.34961,16945.05078,NSEI,,
2023-03-27,16984.30078,17091,16918.55078,16985.69922,NSEI,,
2023-03-28,17031.75,17061.75,16913.75,16951.69922,NSEI,,
2023-03-29,16977.30078,17126.15039,16940.59961,17080.69922,NSEI,,
2023-03-31,17210.34961,17381.59961,17204.65039,17359.75,NSEI,,
2023-04-03,17427.94922,17428.05078,17312.75,17398.05078,NSEI,,
2023-04-05,17422.30078,17570.55078,17402.69922,17557.05078,NSEI,,
2023-04-06,17533.84961,17638.69922,17502.84961,17599.15039,NSEI,,
2023-04-10,17634.90039,17694.09961,17597.94922,17624.05078,NSEI,,
2023-04-11,17704.80078,17748.75,17655.15039,17722.30078,NSEI,,
2023-04-12,17759.55078,17825.75,17717.25,17812.40039,NSEI,,
2023-04-13,17807.30078,17842.15039,17729.65039,17828,NSEI,,
2023-04-17,17863,17863,17574.05078,17706.84961,NSEI,,
2023-04-18,17766.59961,17766.59961,17610.19922,17660.15039,NSEI,,
2023-04-19,17653.34961,17666.15039,17579.84961,17618.75,NSEI,,
2023-04-20,17638.59961,17684.44922,17584.34961,17624.44922,NSEI,,
2023-04-21,17639.75,17663.19922,17553.94922,17624.05078,NSEI,,
2023-04-24,17707.55078,17754.5,17612.5,17743.40039,NSEI,,
2023-04-25,17761.55078,17807.44922,17716.84961,17769.25,NSEI,,
2023-04-26,17767.30078,17827.75,17711.19922,17813.59961,NSEI,,
2023-04-27,17813.09961,17931.59961,17797.90039,17915.05078,NSEI,,
2023-04-28,17950.40039,18089.15039,17885.30078,18065,NSEI,,
2023-05-02,18124.80078,18180.25,18101.75,18147.65039,NSEI,,
2023-05-03,18113.80078,18116.34961,18042.40039,18089.84961,NSEI,,
2023-05-04,18081,18267.44922,18066.69922,18255.80078,NSEI,,
2023-05-05,18117.30078,18216.94922,18055.44922,18069,NSEI,,
2023-05-08,18120.59961,18286.94922,18100.30078,18264.40039,NSEI,,
2023-05-09,18303.40039,18344.19922,18229.65039,18265.94922,NSEI,,
2023-05-10,18313.59961,18326.75,18211.94922,18315.09961,NSEI,,
2023-05-11,18357.80078,18389.69922,18270.40039,18297,NSEI,,
2023-05-12,18273.75,18342.75,18194.55078,18314.80078,NSEI,,
2023-05-15,18339.30078,18458.90039,18287.90039,18398.84961,NSEI,,
2023-05-16,18432.34961,18432.34961,18264.34961,18286.5,NSEI,,
2023-05-17,18300.44922,18309,18115.34961,18181.75,NSEI,,
2023-05-18,18287.5,18297.19922,18104.84961,18129.94922,NSEI,,
2023-05-19,18186.15039,18218.09961,18060.40039,18203.40039,NSEI,,
2023-05-22,18201.09961,18335.25,18178.84961,18314.40039,NSEI,,
2023-05-23,18362.90039,18419.75,18324.19922,18348,NSEI,,
2023-05-24,18294.80078,18392.59961,18262.94922,18285.40039,NSEI,,
2023-05-25,18268.90039,18338.09961,18202.40039,18321.15039,NSEI,,
2023-05-26,18368.34961,18508.55078,18333.15039,18499.34961,NSEI,,
2023-05-29,18619.15039,18641.19922,18581.25,18598.65039,NSEI,,
2023-05-30,18606.65039,18662.44922,18575.5,18633.84961,NSEI,,
2023-05-31,18594.19922,18603.90039,18483.84961,18534.40039,NSEI,,
2023-06-01,18579.40039,18580.30078,18464.55078,18487.75,NSEI,,
2023-06-02,18550.84961,18573.69922,18478.40039,18534.09961,NSEI,,
2023-06-05,18612,18640.15039,18582.80078,18593.84961,NSEI,,
2023-06-06,18600.80078,18622.75,18531.59961,18599,NSEI,,
2023-06-07,18665.59961,18738.94922,18636,18726.40039,NSEI,,
2023-06-08,18725.34961,18777.90039,18615.59961,18634.55078,NSEI,,
2023-06-09,18655.90039,18676.65039,18555.40039,18563.40039,NSEI,,
2023-06-12,18595.05078,18633.59961,18559.75,18601.5,NSEI,,
2023-06-13,18631.80078,18728.90039,18631.80078,18716.15039,NSEI,,
2023-06-14,18744.59961,18769.69922,18690,18755.90039,NSEI,,
2023-06-15,18774.44922,18794.09961,18669.05078,18688.09961,NSEI,,
2023-06-16,18723.30078,18864.69922,18710.5,18826,NSEI,,
2023-06-19,18873.30078,18881.44922,18719.15039,18755.44922,NSEI,,
2023-06-20,18752.34961,18839.69922,18660.65039,18816.69922,NSEI,,
2023-06-21,18849.40039,18875.90039,18794.84961,18856.84961,NSEI,,
2023-06-22,18853.59961,18886.59961,18759.5,18771.25,NSEI,,
2022-06-22,6715.450195,6717.540039,6636.399902,6645.950195,BSE-200,,
2022-06-23,6666.180176,6741.060059,6631.439941,6713.549805,BSE-200,,
2022-06-24,6762.819824,6792.310059,6745.819824,6782.419922,BSE-200,,
2022-06-27,6871.069824,6875.830078,6835.200195,6840.149902,BSE-200,,
2022-06-28,6810.120117,6863.839844,6785.890137,6853.279785,BSE-200,,
2022-06-29,6789.870117,6851.790039,6783.839844,6829.680176,BSE-200,,
2022-06-30,6820.879883,6868.580078,6797.450195,6812.109863,BSE-200,,
2022-07-01,6797.660156,6831.450195,6711.279785,6815.970215,BSE-200,,
2022-07-04,6815.680176,6862.410156,6784.290039,6855.560059,BSE-200,,
2022-07-05,6890.509766,6935.009766,6836.790039,6847.52002,BSE-200,,
2022-07-06,6855.240234,6948.350098,6843.859863,6938.939941,BSE-200,,
2022-07-07,6987.859863,7009.919922,6964.870117,7003.720215,BSE-200,,
2022-07-08,7051.549805,7056.450195,7007.310059,7037.240234,BSE-200,,
2022-07-11,7017.740234,7075.200195,7002.350098,7063.22998,BSE-200,,
2022-07-12,7043.069824,7053.620117,6999.02002,7007.950195,BSE-200,,
2022-07-13,7047.029785,7049.700195,6969.549805,6976.109863,BSE-200,,
2022-07-14,7000.060059,7012.430176,6921.109863,6965.580078,BSE-200,,
2022-07-15,6996.490234,7017.779785,6964.189941,7011.450195,BSE-200,,
2022-07-18,7054.129883,7113.430176,7053.049805,7109.149902,BSE-200,,
2022-07-19,7082.109863,7149.120117,7077.830078,7141.299805,BSE-200,,
2022-07-20,7223.399902,7233.75,7188.22998,7199.790039,BSE-200,,
2022-07-21,7203.759766,7262.029785,7188.569824,7255.009766,BSE-200,,
2022-07-22,7276.640137,7299.060059,7250.52002,7286.859863,BSE-200,,
2022-07-25,7273.910156,7284.759766,7231.200195,7255.830078,BSE-200,,
2022-07-26,7263.359863,7263.359863,7176.52002,7184.069824,BSE-200,,
2022-07-27,7185.009766,7259.149902,7167.549805,7254.790039,BSE-200,,
